nodo_id	nombre_en_la_base_ESCAPADO	fuente	fuente_id_en_la_base	lat_antes	lng_antes	ancla_antes	lat_despues	lng_despues	ancla_despues	fuente_de_la_verdad	nombre_en_la_fuente_ESCAPADO	comuna_en_la_fuente_ESCAPADO	dlat_grados	dlng_grados
653	Huasco	SERNAPESCA	CAL-0009	-28.823795	-77.231492	90	-28.460872	-71.224055	NULL	CAL-0078	HUASCO	HUASCO	0.362923	6.007437
654	Puerto De Caldera Mejoras Fiscales	SERNAPESCA	CAL-0054	-27.415729	-76.829464	158	-27.06394	-70.823869	NULL	CAL-0076	CALDERA	CALDERA	0.351789	6.005595
655	Puerto Viejo	SERNAPESCA	CAL-0020	-27.687595	-76.947172	158	-27.334874	-70.941229	NULL	CAL-0082	PUERTO VIEJO	CALDERA	0.352721	6.005943
656	San Pedro Chaã\u0091Aral De Las Animas	SERNAPESCA	CAL-0011	-26.696806	-76.638227	157	-26.351827	-70.633371	NULL	CAL-0074	CHAÑARAL	CHAÑARAL	0.344979	6.004856
657	Guanaqueros	SERNAPESCA	CAL-0034	-30.571551	-77.439966	90	-30.194365	-71.431134	NULL	CAL-0134	GUANAQUEROS	COQUIMBO	0.377186	6.008832
658	Punta Choros B Los Corrales	SERNAPESCA	CAL-0021	-29.619181	-77.472042	90	-29.246534	-71.468394	NULL	CAL-0109	PUNTA CHOROS	LA HIGUERA	0.372647	6.003648
659	El Membrillo	SERNAPESCA	CAL-0033	-33.417206	-77.644258	90	-33.02215	-71.632543	NULL	CAL-0210	EL MEMBRILLO	VALPARAÍSO	0.395056	6.011715
660	Portales	SERNAPESCA	CAL-0049	-33.427059	-77.602478	90	-33.031146	-71.590059	NULL	CAL-0214	PORTALES	VALPARAÍSO	0.395913	6.012419
661	San Pedro Con Con	SERNAPESCA	CAL-0001	-33.313404	-77.529192	90	-32.918841	-71.518234	NULL	CAL-0206	SAN PEDRO CONCON	CONCÓN	0.394563	6.010958
662	Ventanas	SERNAPESCA	CAL-0023	-33.134386	-77.501974	90	-32.740921	-71.490708	NULL	CAL-0192	VENTANA	PUCHUNCAVÍ	0.393465	6.011266
663	Matanzas	SERNAPESCA	CAL-0025	-34.363123	-77.891296	90	-33.962747	-71.877457	NULL	CAL-0250	MATANZAS	NAVIDAD	0.400376	6.013839
