prioridad	nodo_id	nombre	tipo	comuna	provincia	QUIEN_ADJUDICA	POR_QUE	candidata_con_cierres	candidatas	bahia_elegida_ESCRIBIR_AQUI
1	778	Puerto Ventanas	puerto			capitania	las candidatas están en capitanías distintas (Valparaíso / Quintero): la elección cambia la jurisdicción	SÍ	219 SECTOR NORTE QUINTERO @4.84km  ·  91 BAHÍA DE QUINTERO @6.49km	
2	410	Terminal de Conectividad Puelche	Terminal	Hualaihué	Palena	capitania	las candidatas están en capitanías distintas (Puerto Montt / Hornopirén): la elección cambia la jurisdicción	SÍ	233 SENO RELONCAVI @22.56km  ·  115 CANAL HORNOPIRÉN @29.6km	
3	79	Caleta Pesquera Zapallar	Caleta	Zapallar	Petorca	capitania	las candidatas están en capitanías distintas (Valparaíso / Quintero): la elección cambia la jurisdicción	SÍ	219 SECTOR NORTE QUINTERO @22.82km  ·  91 BAHÍA DE QUINTERO @26.39km	
4	80	Caleta Pesquera Horcón	Caleta	Puchuncaví	Valparaíso	capitania	las candidatas están en capitanías distintas (Valparaíso / Quintero): la elección cambia la jurisdicción	SÍ	219 SECTOR NORTE QUINTERO @6.14km  ·  91 BAHÍA DE QUINTERO @9.25km	
5	81	Caleta Pesquera Maitencillo	Caleta	Puchuncaví	Valparaíso	capitania	las candidatas están en capitanías distintas (Valparaíso / Quintero): la elección cambia la jurisdicción	SÍ	219 SECTOR NORTE QUINTERO @14.2km  ·  91 BAHÍA DE QUINTERO @17.28km	
6	83	Caleta Pesquera Loncura	Caleta	Quintero	Valparaíso	capitania	las candidatas están en capitanías distintas (Quintero / Valparaíso): la elección cambia la jurisdicción	SÍ	91 BAHÍA DE QUINTERO @2.34km  ·  219 SECTOR NORTE QUINTERO @4.29km	
7	539	Caleta Pesquera Ventanas	Caleta	Puchuncaví	Valparaíso	capitania	las candidatas están en capitanías distintas (Valparaíso / Quintero): la elección cambia la jurisdicción	SÍ	219 SECTOR NORTE QUINTERO @3.79km  ·  91 BAHÍA DE QUINTERO @5.82km	
8	104	Borde Costero de Horcon	Defensa Costera	Puchuncaví	Valparaíso	capitania	las candidatas están en capitanías distintas (Valparaíso / Quintero): la elección cambia la jurisdicción	SÍ	219 SECTOR NORTE QUINTERO @5.97km  ·  91 BAHÍA DE QUINTERO @9.09km	
9	105	Borde Costero El Abanico de Maitencillo	Defensa Costera	Puchuncaví	Valparaíso	capitania	las candidatas están en capitanías distintas (Valparaíso / Quintero): la elección cambia la jurisdicción	SÍ	219 SECTOR NORTE QUINTERO @14.96km  ·  91 BAHÍA DE QUINTERO @18.01km	
10	432	Borde Costero de Curaco de Velez	Defensa Costera	Curaco de Vélez	Chiloé	capitania	las candidatas están en capitanías distintas (Castro / Achao / Quemchi): la elección cambia la jurisdicción	SÍ	163 CANAL DALCAHUE @7.65km  ·  122 ACHAO @9.83km  ·  116 CASTRO @13.47km  ·  235 CHEQUIAN @15.41km	
11	353	Defensa Costera de Linao	Defensa Costera	Ancud	Chiloé	capitania	las candidatas están en capitanías distintas (Calbuco / Quemchi / Ancud / Maullín): la elección cambia la jurisdicción	SÍ	114 CANAL CHACAO SECTOR PARGUA Y PUNTA CORONEL @19.34km  ·  120 PUERTO QUEMCHI @20.88km  ·  213 CANAL CHACAO @21.05km  ·  118 BAHÍA ANCUD Y CANAL CHACAO @25.92km  ·  214 BAHÍA ANCUD @25.92km  ·  149 RADA DE	CARELMAPU @27.48km	
12	780	Puerto Las Mulatas	puerto			costa	las 2 candidatas comparten capitanía (Valdivia): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	104 VALDIVIA FLUVIAL @1.52km  ·  207 VALDIVIA CONECTIVIDAD @2.75km	
13	781	Puerto Chincui / Oxxean	puerto			costa	las 3 candidatas comparten capitanía (Puerto Montt): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	216 CANAL TENGLO @8.69km  ·  109 PUERTO MONTT @10.06km  ·  110 BAHÍA CHINCUI @13.7km	
14	211	Caleta Pesquera Laraquete	Caleta	Arauco	Arauco	costa	las 2 candidatas comparten capitanía (Coronel): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	102 LOTA @10.75km  ·  100 BAHÍA CORONEL @17.47km	
15	257	Caleta Pesquera Arauco	Caleta	Arauco	Arauco	costa	las 2 candidatas comparten capitanía (Coronel): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	102 LOTA @23.54km  ·  100 BAHÍA CORONEL @28.29km	
16	348	Caleta Pesquera Ancud	Caleta	Ancud	Chiloé	costa	las 2 candidatas comparten capitanía (Ancud): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	118 BAHÍA ANCUD Y CANAL CHACAO @0km  ·  214 BAHÍA ANCUD @0km	
17	544	Caleta Pesquera Bonifacio	Caleta	Valdivia	Valdivia	costa	las 2 candidatas comparten capitanía (Valdivia): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	208 BORDE COSTERO-VALDIVIA @8.14km  ·  104 VALDIVIA FLUVIAL @17.55km	
18	564	Caleta Pesquera Tentelhue	Caleta	Hualaihué	Palena	costa	las 2 candidatas comparten capitanía (Calbuco): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	113 BAHÍA DE CALBUCO @27.18km  ·  232 SAN JOSE-CAICAEN @28.65km	
19	198	Caleta Pesquera Coliumo	Caleta	Tomé	Concepción	costa	las 3 candidatas comparten capitanía (Talcahuano): elegir mal no cambia a quién se contacta, sólo qué restricciones llegan	SÍ	97 BAHÍA CONCEPCIÓN - LIRQUÉN @19.27km  ·  98 BAHÍA CONCEPCIÓN - TALCAHUANO @23.5km  ·  99 BAHÍA SAN VICENTE @25.97km	
