id	nombre	tipo	fuente	region	provincia	comuna	CAUSA	QUE_HACE_FALTA	bahia_mas_cercana	bahia_con_restricciones	bahia_con_cierres	es_caleta_pesquera	actividades
136	Embarcadero Muelle Puerto Toro	Embarcadero	MOP	12	Antártica Chilena	Cabo de Hornos	fuera de todo radio	ampliar el radio a 38 km, o una bahía que hoy no está en BAHIA_COORDS	138 PUERTO WILLIAMS @37.3km	no	no	no	
623	Infraestructura Portuaria Puerto Navarino	Infraestructura Portuaria	MOP	12	Antártica Chilena	Cabo de Hornos	fuera de todo radio	ampliar el radio a 47 km, o una bahía que hoy no está en BAHIA_COORDS	138 PUERTO WILLIAMS @46.4km	no	no	no	
149	Embarcadero Rampa Yendegaia	Embarcadero	MOP	12	Antártica Chilena	Cabo de Hornos	fuera de todo radio	ampliar el radio a 71 km, o una bahía que hoy no está en BAHIA_COORDS	138 PUERTO WILLIAMS @70.5km	no	no	no	
143	Rampa Isla Riesco	Rampa	MOP	12	Magallanes	Río Verde	fuera de todo radio	ampliar el radio a 33 km, o una bahía que hoy no está en BAHIA_COORDS	136 SENO OTWAY @32.3km	no	no	no	
144	Rampa Río Verde	Rampa	MOP	12	Magallanes	Río Verde	fuera de todo radio	ampliar el radio a 33 km, o una bahía que hoy no está en BAHIA_COORDS	136 SENO OTWAY @32.6km	no	no	no	
676	Isla Wellington	Infraestructura Portuaria	MANUAL	Magallanes			fuera de todo radio	ampliar el radio a 71 km, o una bahía que hoy no está en BAHIA_COORDS	129 PUERTO EDÉN @70.6km	no	no	no	
463	Embarcadero Conectividad Ventisquero Chico	Embarcadero	MOP	11	Capitán Prat	O'Higgins	fuera de todo radio	ampliar el radio a 46 km, o una bahía que hoy no está en BAHIA_COORDS	203 LAGO O'HIGGINS @45.8km	no	no	no	
465	Embarcadero Conectividad Candelario Mancilla	Embarcadero	MOP	11	Capitán Prat	O'Higgins	fuera de todo radio	ampliar el radio a 43 km, o una bahía que hoy no está en BAHIA_COORDS	203 LAGO O'HIGGINS @42.3km	no	no	no	
475	Embarcadero Muelle Lago Cochrane	Embarcadero	MOP	11	Capitán Prat	Cochrane	fuera de todo radio	ampliar el radio a 90 km, o una bahía que hoy no está en BAHIA_COORDS	128 LAGO GENERAL CARRERA @89.8km	no	no	no	
479	Embarcadero Muelle Puerto Bertrand - Lago Bertrand	Embarcadero	MOP	11	General Carrera	Chile Chico	fuera de todo radio	ampliar el radio a 80 km, o una bahía que hoy no está en BAHIA_COORDS	128 LAGO GENERAL CARRERA @80.0km	no	no	no	
