id,nombre,ambito,estado_geometria,km2,vertices,piezas
achao,Achao,maritima,construida,716.0,5761,6
algarrobo,Algarrobo,maritima,construida,31684.9,4090,2
ancud,Ancud,maritima,construida,8863.0,18972,1
antofagasta,Antofagasta,maritima,construida,102203.7,19598,2
arica,Arica,maritima,nula_declarada,,,
bahia_fildes,Bahia Fildes,antartica,construida,176233.1,6,1
bahia_paraiso,Bahia Paraiso,antartica,construida,776121.2,5,1
baker,Baker,maritima,nula_declarada,,,
calbuco,Calbuco,maritima,construida,658.8,14278,1
caldera,Caldera,maritima,construida,134756.8,7965,3
carahue,Carahue,maritima,construida,32526.3,13436,1
castro,Castro,maritima,construida,8521.4,5221,4
chaiten,Chaiten,maritima,construida,8971.4,48768,5
chanaral,Chanaral,maritima,construida,65187.4,8905,2
chonchi,Chonchi,maritima,construida,10561.8,10917,11
cochamo,Cochamo,maritima,construida,5754.1,44202,3
constitucion,Constitucion,maritima,construida,135232.8,5002,1
coquimbo,Coquimbo,maritima,construida,36963.9,14411,2
coronel,Coronel,maritima,construida,9273.9,2031,1
corral,Corral,maritima,construida,12424.8,18524,2
hanga_roa,Hanga Roa,insular_remota,nula_declarada,,,
hornopiren,Rio Negro Hornopiren,maritima,construida,1847.2,31281,1
huasco,Huasco,maritima,construida,106261.7,10724,2
iquique,Iquique,maritima,construida,58828.6,63433,1
juan_fernandez,Juan Fernandez,insular_remota,nula_declarada,,,
lago_general_carrera,Lago General Carrera,lacustre,construida,1627.1,11835,3
lago_panguipulli,Lago Panguipulli,lacustre,construida,367.6,4348,7
lago_ranco,Lago Ranco,lacustre,construida,648.3,3608,5
lago_rapel,Lago Rapel,lacustre,construida,72.8,2366,1
lago_villarrica,Lago Villarrica,lacustre,construida,326.2,2937,8
lebu,Lebu,maritima,construida,38222.3,3482,1
lirquen,Lirquen,maritima,nula_declarada,,,
los_vilos,Los Vilos,maritima,construida,128153.9,15729,2
lota,Lota,maritima,construida,12800.0,23701,1
maullin,Maullin,maritima,construida,45028.9,101314,8
mejillones,Mejillones,maritima,construida,23897.7,3582,1
melinka,Melinka,maritima,construida,41229.2,238893,1
papudo,Papudo,maritima,construida,57115.4,9122,3
patache,Patache,maritima,construida,31690.6,5243,1
pichilemu,Pichilemu,maritima,construida,101797.5,4356,1
puerto_aguirre,Puerto Aguirre,maritima,construida,26952.9,291247,4
puerto_chacabuco,Puerto Chacabuco,maritima,construida,49857.6,262438,12
puerto_cisnes,Puerto Cisnes,maritima,construida,12940.6,254359,3
puerto_eden,Puerto Eden,maritima,nula_declarada,,,
puerto_montt,Puerto Montt,maritima,construida,1003.0,9508,1
puerto_natales,Puerto Natales,maritima,construida,125067.3,1579204,13
puerto_soberania,Puerto Soberania,antartica,construida,253818.7,6,1
puerto_varas,Puerto Varas,lacustre,construida,1437.4,6466,5
puerto_williams,Puerto Williams,maritima,nula_declarada,,,
punta_arenas,Punta Arenas,maritima,construida,129115.5,2194677,10
punta_delgada,Punta Delgada,maritima,nula_declarada,,,
quellon,Quellon,maritima,construida,35787.8,38859,1
quemchi,Quemchi,maritima,construida,1325.4,13510,1
quintero,Quintero,maritima,construida,33371.8,2990,2
rada_covadonga,Rada Covadonga,antartica,construida,151289.8,4,1
san_antonio,San Antonio,maritima,construida,48058.3,13116,2
san_vicente,San Vicente,maritima,construida,4113.2,25334,6
talcahuano,Talcahuano,maritima,nula_declarada,,,
taltal,Taltal,maritima,construida,161479.1,10306,2
tierra_del_fuego,Tierra del Fuego,maritima,nula_declarada,,,
tocopilla,Tocopilla,maritima,construida,48862.2,5348,1
tongoy,Tongoy,maritima,construida,32981.6,3278,3
valdivia,Valdivia,maritima,construida,16577.3,24249,9
valparaiso,Valparaiso,maritima,construida,44529.2,22226,2
