"Region","Gobernacion","Capitania"
"Región Arica y Parinacota","Arica","Arica"
"Región de Antofagasta","Antofagasta","Tocopilla"
"Región de Antofagasta","Antofagasta","Mejillones"
"Región de Antofagasta","Antofagasta","Antofagasta"
"Región de Antofagasta","Antofagasta","Taltal"
"Región de Atacama","Caldera","Chañaral"
"Región de Atacama","Caldera","Caldera"
"Región de Atacama","Caldera","Huasco"
"Región de Aysén","Aysén","Melinka"
"Región de Aysén","Aysén","Puerto Cisnes"
"Región de Aysén","Aysén","Puerto Aguirre"
"Región de Aysén","Aysén","Lago General Carrera"
"Región de Aysén","Aysén","Chacabuco"
"Región de Aysén","Aysén","Baker"
"Región de Bio Bío","Talcahuano","Constitución"
"Región de Bio Bío","Talcahuano","Lirquén-Tomé"
"Región de Bio Bío","Talcahuano","San Vicente"
"Región de Bio Bío","Talcahuano","Talcahuano"
"Región de Bio Bío","Talcahuano","Coronel"
"Región de Bio Bío","Talcahuano","Lota"
"Región de Bio Bío","Talcahuano","Lebu"
"Región de Coquimbo","Coquimbo","Coquimbo"
"Región de Coquimbo","Coquimbo","Tongoy"
"Región de Coquimbo","Coquimbo","Los Vilos"
"Región de Los Lagos / Castro","Castro","Ancud"
"Región de Los Lagos / Castro","Castro","Quemchi"
"Región de Los Lagos / Castro","Castro","Castro"
"Región de Los Lagos / Castro","Castro","Achao"
"Región de Los Lagos / Castro","Castro","Chonchi"
"Región de Los Lagos / Castro","Castro","Quellón"
"Región de Los Lagos / Castro","Castro","Chaitén"
"Región de Los Lagos","Puerto Montt","Puerto Varas"
"Región de Los Lagos","Puerto Montt","Puerto Montt"
"Región de Los Lagos","Puerto Montt","Cochamó"
"Región de Los Lagos","Puerto Montt","Maullín"
"Región de Los Lagos","Puerto Montt","Calbuco"
"Región de Los Lagos","Puerto Montt","Hornopirén"
"Región de los Ríos","Valdivia","Carahue"
"Región de los Ríos","Valdivia","Villarrica"
"Región de los Ríos","Valdivia","Panguipulli"
"Región de los Ríos","Valdivia","Valdivia"
"Región de los Ríos","Valdivia","Corral"
"Región de los Ríos","Valdivia","Lago Ranco"
"Región de Magallanes / Puerto Williams","Puerto Williams","Puerto Williams"
"Región de Magallanes / Punta Arenas","Punta Arenas","Punta Arenas"
"Región de Magallanes / Punta Arenas","Punta Arenas","Puerto Natales"
"Región de Magallanes / Punta Arenas","Punta Arenas","Punta Delgada"
"Región de Magallanes / Punta Arenas","Punta Arenas","Puerto Edén"
"Región de Magallanes / Punta Arenas","Punta Arenas","Tierra del Fuego"
"Región de Magallanes y Antártica Chilena","Antártica Chilena","Bahía Paraíso"
"Región de Magallanes y Antártica Chilena","Antártica Chilena","Bahía Fildes"
"Región de Magallanes y Antártica Chilena","Antártica Chilena","Soberanía"
"Región de Tarapacá","Iquique","Iquique"
"Región de Tarapacá","Iquique","Patache"
"Región de Valparaíso / Hanga Roa","Hanga Roa","Hanga Roa"
"Región de Valparaíso / O&#39;higgins","San Antonio","Algarrobo"
"Región de Valparaíso / O&#39;higgins","San Antonio","San Antonio"
"Región de Valparaíso / O&#39;higgins","San Antonio","Lago Rapel"
"Región de Valparaíso / O&#39;higgins","San Antonio","Pichilemu"
"Región de Valparaíso","Valparaíso","Quintero"
"Región de Valparaíso","Valparaíso","Papudo"
"Región de Valparaíso","Valparaíso","Valparaíso"
"Región de Valparaíso","Valparaíso","Juan Fernández"
