"CdRep","Codigo","Capitania","Gobernacion","Region","Telefono","Direccion","Jefe"
"2","5026","ARICA","Arica","Región Arica y Parinacota","+56 58 2356704 (Secretaría Protocolar) ó +56 58 2356747 (Guardia)","Máximo Lira 315. Arica","Capitán de Fragata LT Felipe Rodríguez Muñoz"
"10","5027","IQUIQUE","Iquique","Región de Tarapacá","+56 57 2401942","Jorge Barrera 98. Pza. Aduana. Iquique","Capitán de Fragata LT Cristián Concha Silva"
"438","5028","PATACHE","Iquique","Región de Tarapacá","+56 57 2401911","Jorge Barrera 98. Iquique","T1°LT Cristóbal Berna Armijo"
"15","5016","TOCOPILLA","Antofagasta","Región de Antofagasta","+56 55 2813279","Barros Arana N°1275. Tocopilla.","Capitán de Corbeta LT Cristian Peters Haedicke"
"16","5017","MEJILLONES","Antofagasta","Región de Antofagasta","+56 55 2621513","Francisco Antonio Pinto N°100. Mejillones","Capitán de Corbeta LT Cristian Paredes Porras"
"13","5025","ANTOFAGASTA","Antofagasta","Región de Antofagasta","+56 55 2630000","Av. Grecia 1946. Antofagasta.","Capitán de Fragata LT Diego Aguilera Modrow"
"17","5041","TALTAL","Antofagasta","Región de Antofagasta","+56 55 2611033","Juan Martínez N°136. Taltal","Teniente 2° LT Camilo Rivero Rivero"
"38","1259","HANGA ROA","Hanga Roa","Región de Valparaíso / Hanga Roa","+56 32 2100222","Apina S/N. Isla de Pascua","Teniente 1° LT Felipe González Concha"
"32","1223","CHANARAL","Caldera","Región de Atacama","+56 52 2480047 /+56 52 2480442","Panamericana Norte s/n Km. 971. Chañaral.","Teniente 1° LT Carlos Opitz Bastías"
"30","1224","CALDERA","Caldera","Región de Atacama","+56 52 2315276","Wheelright 441. Caldera.","Capitán de Corbeta LT Camilo Cifuentes García"
"33","1225","HUASCO","Caldera","Región de Atacama","+56 51 2531011","Conchería 104. Huasco","Teniente 1° LT Phillippe Larroucau Sepúlveda"
"45","1252","COQUIMBO","Coquimbo","Región de Coquimbo","+56 51 2558100","Avda. Costanera 640. Coquimbo","Capitán de Fragata LT Daniel Sarzosa Vergara"
"51","1211","TONGOY","Coquimbo","Región de Coquimbo","+56 51 2391781","Lord Cochrane 878. Tongoy.","Teniente 1º LT Gianlucas Maggio Góngora"
"54","1227","LOS VILOS","Coquimbo","Región de Coquimbo","+56 53 2541104","Avda. Costanera 148. Los Vilos.","Capitán de Corbeta LT Felipe Castillo Belmar"
"83","1232","PAPUDO","Valparaíso","Región de Valparaíso","+56 32 2930057","Avenida Bulnes N°120. Quintero.","Capitán de Fragata LT Rafael Quijada Córdova"
"78","1228","QUINTERO","Valparaíso","Región de Valparaíso","+56 32 2930057","Avenida Bulnes N°120. Quintero.","Capitán de Fragata LT Rafael Quijada Córdova"
"72","1253","VALPARAÍSO","Valparaíso","Región de Valparaíso","+56 32 2208505","Plaza Sotomayor 7. Valparaíso.","Capitán de Fragata LT Jacob Silva Pradenas"
"86","1258","JUAN FERNÁNDEZ","Valparaíso","Región de Valparaíso","+56 32 2751008 / +56 32 2751009","Subida Lord Anson S/N, Pob. Villa Cuarzo. Archipiélago de Juan Fernández","Teniente 1° LT Christopher Panes Rojas"
"447","1255","ALGARROBO","San Antonio","Región de Valparaíso / O&#39;higgins","+56 35 2483993","Avda. Algarrobo 2298. Algarrobo.","Capitán de Corbeta LT Sergio Sánchez Andrade"
"91","1257","SAN ANTONIO","San Antonio","Región de Valparaíso / O&#39;higgins","+56 35 2584800","Paseo Bellamar s/n. San Antonio.","Capitán de Fragata LT Roberto Ascencio Matamala"
"97","1210","LAGO RAPEL","San Antonio","Región de Valparaíso / O&#39;higgins","+56 35 2584833","Estero s/n. Comuna de Las Cabras.","Suboficial L (COM.) Daniel Donoso Leiton"
"166","2170","PICHILEMU","San Antonio","Región de Valparaíso / O&#39;higgins","+56 72 2841206","Av. Costanera Nº 300. Pichilemu.","Capitán de Corbeta LT Felipe Vergara Ruiz"
"161","2220","CONSTITUCIÓN","Talcahuano","Región de Bio Bío","+56 71 2671307","Karen Roco N°75 (Ex Rengifo) Constitución.","Capitán de Corbeta LT Paul Hudson Gómez"
"144","2221","LIRQUÉN","Talcahuano","Región de Bio Bío","+56 41 3839697","Caleta Lirquén SN. Penco","Capitán de Corbeta LT Sergio Benítez Prado"
"134","2165","TALCAHUANO","Talcahuano","Región de Bio Bío","+56 41 3831100","Almirante Villarroel N°107. Talcahuano.","Capitán de Corbeta LT Camila Ovalle Lagos"
"138","2223","SAN VICENTE","Talcahuano","Región de Bio Bío","+56 41 3839694","Avenida Latorre 1430. San Vicente. Talcahuano","Capitán de Corbeta LT Felipe Estrada Saa"
"153","2224","CORONEL","Talcahuano","Región de Bio Bío","+56 41 3839692","General Carlos Prat 30. Coronel.","Capitán de Corbeta LT Osvaldo Cuadra Rojas"
"167","2225","LOTA","Talcahuano","Región de Bio Bío","+56 41 2876399","Punta Arenas S/N Sector Playa. Lota Bajo, Lota","Capitán de Corbeta LT José Egaña Cerda"
"157","2226","LEBU","Talcahuano","Región de Bio Bío","+56 41 2511158","Blanco Encalada 501. Lebu.","Teniente 1º LT Javier Álvarez Cárdenas"
"190","2169","CARAHUE","Valdivia","Región de los Ríos","+56 45 2524736","Calle Ejército #1063. Puerto Saavedra.","SO L Héctor Saavedra Quiroga"
"186","2228","VILLARRICA","Valdivia","Región de los Ríos","+56 45 2524733","Gerónimo de Alderete 001. Pucón","Capitán de Corbeta LT Alex Jeldres Curilemo"
"175","2166","VALDIVIA","Valdivia","Región de los Ríos","+56 63 2276905","Arturo Prat N° 588 - 1er. Piso. Valdivia","Capitán de Fragata LT Gonzalo Townsend Aravena"
"184","2229","PANGUIPULLI","Valdivia","Región de los Ríos","+56 63 2276944","O'Higgins N°01. Panguipulli.","Capitán de Corbeta LT Diego Valdés Ortega"
"176","2231","CORRAL","Valdivia","Región de los Ríos","+56 63 2471267","Av. Esmeralda N°100. Corral.","Teniente 1°LT Danilo Tapia Pérez"
"188","2230","LAGO RANCO","Valdivia","Región de los Ríos","+56 63 2314469","Viña del Mar Nº409. Comuna Lago Ranco.","Teniente 1° LT Wilfredo Aguirre Rozas"
"203","2164","MAULLÍN","Puerto Montt","Región de Los Lagos","+56 65 2451285","Gaspar del Río N°73. Maullín.","Capitán de Corbeta LT Rafael Dall´Orso Ayo"
"201","2171","PUERTO VARAS","Puerto Montt","Región de Los Lagos","+56 65 2235237","Avda. Vicente Pérez 1610. Sector Costanera. Puerto Varas.","Capitán de Corbeta LT Claudio Villalobos Briceno"
"194","2704","PUERTO MONTT","Puerto Montt","Región de Los Lagos","+56 65 2205100","Avda. Angelmó 2201 (1er Piso). Puerto Montt.","Capitán de Fragata LT Sebastián Bravo Donoso"
"663","9217","COCHAMÓ","Puerto Montt","Región de Los Lagos","+56 987295906","Cochamó S/N. Cochamó","Sargento 1º L  Rodrigo Sánchez Guzmán"
"198","2244","CALBUCO","Puerto Montt","Región de Los Lagos","+56 65 2462434","Avenida Brasil N°615. Calbuco.","Capitán de Fragata OM Jaime Mansilla Muñoz"
"221","2236","ANCUD","Castro","Región de Los Lagos / Castro","+56 65 2622363","Arturo Prat esq. Lord Cochrane S/N. Ancud.","Capitán de Corbeta LT Sebastián Gysling Muñoz"
"430","2711","RIO NEGRO HORNOPIRÉN","Puerto Montt","Región de Los Lagos","+56 65 2217304","Los Colonos S/N Esquina Cordillera. Hornopirén.","Suboficial L Jonathan Mora Parra"
"227","2168","QUEMCHI","Castro","Región de Los Lagos / Castro","+56 65 2691334 / +56981997435","Diego Bahamondes N°390. Quemchi.","Suboficial  (Art. Seg. M.) Claudio Reyes Conejeros"
"208","2162","CASTRO","Castro","Región de Los Lagos / Castro","+56 65 2629448","Avda. Pedro Montt 85. Castro.","Capitán de Corbeta LT Gonzalo Barría Sepúlveda"
"217","2238","ACHAO","Castro","Región de Los Lagos / Castro","+56 65 2661260","Calle Miranda Velásquez S/N esquina Arturo Prat, Achao.","Suboficial L Diego Miranda Arancibia"
"213","2235","CHAITÉN","Castro","Región de Los Lagos / Castro","+56 65 2731267","Juan Todesco N°5. Chaitén.","Teniente 1º OM Luis Apablaza Vivanco"
"225","2239","CHONCHI","Castro","Región de Los Lagos / Castro","+56 65 2671950","Irarrázabal Nº5. Chonchi.","Teniente 1º LT Felipe Ortega Álvarez"
"212","2240","QUELLÓN","Castro","Región de Los Lagos / Castro","+56 65 2681260","Agustín Gómez García Nº 15. Quellón.","Capitán de Corbeta LT Manuel Hidalgo Alfaro"
"234","2279","MELINKA","Aysén","Región de Aysén","+56 67 2431555","Costanera Oeste S/N. Melinka","Teniente 2º LT Nicolás Briones Rosas"
"241","2172","CISNES","Aysén","Región de Aysén","+56 67 2346880","Arturo Prat N°851. Puerto Cisnes","Suboficial L José Luis Medina Contreras"
"239","2206","AGUIRRE","Aysén","Región de Aysén","+56 67 2361233","Almirante Latorre S/N. Puerto Aguirre.","Suboficial L Daniel Concha Constanzo"
"240","2241","CHACABUCO","Aysén","Región de Aysén","+56 672351450","Bernardo O'Higgins N°45. Puerto Chacabuco","Capitán de Corbeta LT Simón Stuven del Valle"
"235","2243","LAGO GRAL.CARRERA","Aysén","Región de Aysén","+56 67 2411111","Manuel Rodríguez 157. Chile Chico.","Capitán de Corbeta LT Raimundo Silva Cazenave"
"260","3228","BAKER","Aysén","Región de Aysén","Móvil: +569 5617 3241","Costanera, Sector Base S/N. Caleta Tortel.","Sargento 1° L Iván Estrada Rayempan"
"258","3229","EDÉN","Punta Arenas","Región de Magallanes / Punta Arenas","+56 61 2201164","Sector Yektarte S/N. Puerto Edén.","Suboficial L Guido Hernández Astorga"
"253","3220","PUERTO NATALES","Punta Arenas","Región de Magallanes / Punta Arenas","+56 61 2411570","Pedro Montt Nº311, Puerto Natales.","Capitán de Corberta LT Rafael González Hernández"
"252","3223","PUNTA DELGADA","Punta Arenas","Región de Magallanes / Punta Arenas","Móvil: + 56 61 2201189","Primera Angostura S/N. Punta Delgada.","Suboficial L Patricio Bórquez Gómez"
"251","3125","PUNTA ARENAS","Punta Arenas","Región de Magallanes / Punta Arenas","+56 61 2201105","Av. Bernardo O'Higgins 1169, Punta Arenas.","Capitán de Fragata LT Fernando Diez Moreno"
"254","3221","TIERRA DEL FUEGO","Punta Arenas","Región de Magallanes / Punta Arenas","+56 61 2580841","Carlos Serka N.º 1304. Porvenir. Tierra del Fuego.","Teniente 1º LT Francisco Morales Muñoz"
"275","3230","PUERTO WILLIAMS","Puerto Williams","Región de Magallanes / Puerto Williams","+56 61 2624271","Miramar 96. Puerto Williams.","T1° LT René Rojas Contreras"
"290","3815","BAHÍA FILDES","Antártica Chilena","Región de Magallanes y Antártica Chilena","+56 32 2208557","Villa Las Estrellas","Capitán de Fragata LT Horacio Hurtado Accatini"
"292","3816","SOBERANÍA","Antártica Chilena","Región de Magallanes y Antártica Chilena","+56 32 2509291","Base Prat","Dirección: Base Prat"
"291","3817","RADA COVADONGA","","","","",""
"293","9128","BAHÍA PARAÍSO","Antártica Chilena","Región de Magallanes y Antártica Chilena","+56 32 2208557","Bahía Paraíso","Teniente 1°LT Jorge Oyarzún Leiva"
