"Estado","ID","Bahia","CdRep","Local","Sitport"
"DISTINTO","236","CALETA VIUDA","15","Antofagasta","TOCOPILLA"
"DISTINTO","74","BAHÍA ALGODONALES","15","Antofagasta","TOCOPILLA"
"DISTINTO","76","CALETA MICHILLA","16","Antofagasta","MEJILLONES"
"DISTINTO","79","TAL TAL","17","Antofagasta","TALTAL"
"DISTINTO","172","BAHÍA PAN DE AZÚCAR","32","Caldera","CHANARAL"
"DISTINTO","80","BAHÍA CHAÑARAL","32","Caldera","CHANARAL"
"DISTINTO","157","PUERTO CARRIZAL BAJO","33","Caldera","HUASCO"
"DISTINTO","158","CALETA CHAÑARAL Y ENSENADA GAVIOTA","33","Coquimbo","HUASCO"
"DISTINTO","86","BAHÍA HERRADURA DE GUAYACÁN","45","Guayacán","COQUIMBO"
"DISTINTO","150","GUANAQUEROS","51","Coquimbo","TONGOY"
"DISTINTO","87","TONGOY","51","Coquimbo","TONGOY"
"DISTINTO","151","BARNES","51","Coquimbo","TONGOY"
"DISTINTO","219","SECTOR NORTE QUINTERO","78","Valparaíso","QUINTERO"
"DISTINTO","90","ISLA ROBINSON CRUSOE","86","Valparaíso","JUAN FERNÁNDEZ"
"NULO","96","LAGO RAPEL","97","","LAGO RAPEL"
"DISTINTO","198","SECTOR COSTERO PENINSULA DE HUALPEN","138","Talcahuano","SAN VICENTE"
"DISTINTO","99","BAHÍA SAN VICENTE","138","Talcahuano","SAN VICENTE"
"DISTINTO","97","BAHÍA CONCEPCIÓN - LIRQUÉN","144","Talcahuano","LIRQUÉN"
"DISTINTO","95","PICHILEMU","166","San Antonio","PICHILEMU"
"DISTINTO","102","LOTA ","167","Coronel","LOTA"
"NULO","106","PANGUIPULLI","184","","PANGUIPULLI"
"NULO","247","LAGO CALAFQUEN","186","","VILLARRICA"
"NULO","248","LAGO RIÑIHUE","186","","VILLARRICA"
"NULO","246","LAGO PULLINQUE","186","","VILLARRICA"
"NULO","105","LAGO VILLARRICA","186","","VILLARRICA"
"NULO","245","LAGO PELLAIFA","186","","VILLARRICA"
"NULO","210","LAGO VILLARRICA SECTOR VILLARRICA","186","","VILLARRICA"
"NULO","209","LAGO VILLARRICA SECTOR PUCÓN","186","","VILLARRICA"
"NULO","250","LAGO PIREHUICO","186","","VILLARRICA"
"NULO","249","LAGO NELTUME","186","","VILLARRICA"
"NULO","144","LAGO RANCO","188","","LAGO RANCO"
"NULO","145","LAGO MAIHUE","188","","LAGO RANCO"
"SIN_CAPITANIA","146","RIO BUENO","189",,""
"DISTINTO","159","LAGO TODOS LOS SANTOS","201","Puerto Montt","PUERTO VARAS"
"DISTINTO","161","LAGO RUPANCO","201","Puerto Montt","PUERTO VARAS"
"DISTINTO","160","LAGO PUYEHUE","201","Puerto Montt","PUERTO VARAS"
"DISTINTO","235","CHEQUIAN","217","Quemchi","ACHAO"
"DISTINTO","251","CANAL GOLFO CORCOVADO (NORTE)","234","Cisnes","MELINKA"
"DISTINTO","255","CANAL PÉREZ NORTE","234","Cisnes","MELINKA"
"DISTINTO","124","MELINKA","234","Cisnes","MELINKA"
"DISTINTO","256","CANAL PÉREZ SUR","234","Cisnes","MELINKA"
"DISTINTO","253","CANAL CHAFFERS NORTE","234","Cisnes","MELINKA"
"DISTINTO","254","CANAL CHAFFERS SUR","234","Cisnes","MELINKA"
"DISTINTO","175","SECTOR REPOLLA ALTO","234","Cisnes","MELINKA"
"DISTINTO","252","CANAL MORALEDA (ESTE)","234","Cisnes","MELINKA"
"DISTINTO","176","SECTOR REPOLLA BAJO","234","Cisnes","MELINKA"
"DISTINTO","203","LAGO O'HIGGINS","235","Lago General Carrera","LAGO GRAL.CARRERA"
"DISTINTO","128","LAGO GENERAL CARRERA","235","Lago General Carrera","LAGO GRAL.CARRERA"
"DISTINTO","257","RÍO COCHRANE","235","Lago General Carrera","LAGO GRAL.CARRERA"
"DISTINTO","238","SECTOR CANAL MORALEDA","239","Cisnes","AGUIRRE"
"DISTINTO","244","SECTOR CANAL TRANSITO","239","Cisnes","AGUIRRE"
"DISTINTO","243","SECTOR CANAL DARWIN","239","Cisnes","AGUIRRE"
"DISTINTO","240","SECTOR CANAL PILCOMAYO Y CANAL RODRIGUEZ","239","Cisnes","AGUIRRE"
"DISTINTO","242","SECTOR CANAL CARRERA DEL CHIVATO Y CANAL CUCHI","239","Cisnes","AGUIRRE"
"DISTINTO","241","SECTOR CANAL GOÑI Y CANAL NINUALAC","239","Cisnes","AGUIRRE"
"DISTINTO","125","SECTOR BAHÍA DE PUERTO AGUIRRE","239","Cisnes","AGUIRRE"
"DISTINTO","239","SECTOR CANAL FERRONAVE Y CANAL DEVIA","239","Cisnes","AGUIRRE"
"DISTINTO","234","RÍO PALENA","241","Chaitén","CISNES"
"DISTINTO","156","PRIMERA ANGOSTURA","252","Punta Arenas","PUNTA DELGADA"
"DISTINTO","131","BAHÍA GREGORIO","252","Punta Arenas","PUNTA DELGADA"
"DISTINTO","132","BAHÍA CLARENCIA","254","Punta Arenas","TIERRA DEL FUEGO"
"DISTINTO","137","BAHÍA CHILOTA","254","Punta Arenas","TIERRA DEL FUEGO"
"NULO","129","PUERTO EDÉN","258","","EDÉN"
"NULO","154","ISLA GUARELLO","258","","EDÉN"
"NULO","127","BAKER","260","","BAKER"
"NULO","139","BAHÍA FILDES","290","","BAHÍA FILDES"
"NULO","231","BAHÍA CHILE","292","","SOBERANÍA"
"NULO","140","BAHÍA PARAÍSO","293","","BAHÍA PARAÍSO"
"DISTINTO","115","CANAL HORNOPIRÉN","430","Hornopirén","RIO NEGRO HORNOPIRÉN"
"DISTINTO","184","ENSENADA HUALAIHUÉ","430","Hornopirén","RIO NEGRO HORNOPIRÉN"
"DISTINTO","183","ESTERO PICHICOLO","430","Hornopirén","RIO NEGRO HORNOPIRÉN"
"DISTINTO","186","SECTOR AYACARA","430","Hornopirén","RIO NEGRO HORNOPIRÉN"
"DISTINTO","185","ENSENADA ROLECHA","430","Hornopirén","RIO NEGRO HORNOPIRÉN"
"DISTINTO","182","ESTERO COMAU","430","Hornopirén","RIO NEGRO HORNOPIRÉN"
"DISTINTO","187","SECTOR BUILL","430","Hornopirén","RIO NEGRO HORNOPIRÉN"
"DISTINTO","181","CANAL CHOLGO","430","Hornopirén","RIO NEGRO HORNOPIRÉN"
"DISTINTO","196","BORDE COSTERO NORTE PATACHE","438","Iquique","PATACHE"
"DISTINTO","73","PATACHE","438","Iquique","PATACHE"
"DISTINTO","195","PATILLO","438","Iquique","PATACHE"
"DISTINTO","197","BORDE COSTERO SUR PATACHE","438","Iquique","PATACHE"
"DISTINTO","94","BAHÍA ALGARROBO","447","San Antonio","ALGARROBO"
"DISTINTO","215","EL QUISCO","447","San Antonio","ALGARROBO"
"DISTINTO","153","LAGO TAGUA TAGUA","663","Puerto Montt","COCHAMÓ"
