"ID","Gobernacion","NMBahia","CdRep"
"96","San Antonio","LAGO RAPEL","97"
"229","San Antonio","LAGO VICHUQUEN","161"
"106","Valdivia","PANGUIPULLI","184"
"144","Valdivia","LAGO RANCO","188"
"145","Valdivia","LAGO MAIHUE","188"
"146","Valdivia","RIO BUENO","189"
"248","Valdivia","LAGO RI├æIHUE","186"
"249","Valdivia","LAGO NELTUME","186"
"250","Valdivia","LAGO PIREHUICO","186"
"105","Valdivia","LAGO VILLARRICA","186"
"209","Valdivia","LAGO VILLARRICA SECTOR PUC├ôN","186"
"210","Valdivia","LAGO VILLARRICA SECTOR VILLARRICA","186"
"245","Valdivia","LAGO PELLAIFA","186"
"246","Valdivia","LAGO PULLINQUE","186"
"247","Valdivia","LAGO CALAFQUEN","186"
"153","Puerto Montt","LAGO TAGUA TAGUA","663"
"128","Aysén","LAGO GENERAL CARRERA","235"
"127","Aysén","BAKER","260"
"203","Aysén","LAGO O'HIGGINS","235"
"129","Aysén","PUERTO ED├ëN","258"
"154","Punta Arenas","ISLA GUARELLO","258"
"139","Puerto Williams","BAH├ìA FILDES","290"
"231","Puerto Williams","BAH├ìA CHILE","292"
"140","Puerto Williams","BAH├ìA PARA├ìSO","293"
