"CdRep","Codigo","Capitania","Gobernacion","Region","Telefono","Direccion"
"2","5026","ARICA","Arica","Región Arica y Parinacota","+56 58 2356704 (Secretaría Protocolar) ó +56 58 2356747 (Guardia)","Máximo Lira 315. Arica"
"10","5027","IQUIQUE","Iquique","Región de Tarapacá","+56 57 2401911","Jorge Barrera 98. Iquique"
"438","5028","PATACHE","Iquique","Región de Tarapacá","+56 57 2401911","Jorge Barrera 98. Iquique"
"15","5016","TOCOPILLA","Antofagasta","Región de Antofagasta","+56 55 2813279","Barros Arana N°1275. Tocopilla."
"16","5017","MEJILLONES","Antofagasta","Región de Antofagasta","+56 55 2621513","Francisco Antonio Pinto N°100. Mejillones"
"13","5025","ANTOFAGASTA","Antofagasta","Región de Antofagasta","+56 55 2630000","Av. Grecia 1946. Antofagasta."
"17","5041","TALTAL","Antofagasta","Región de Antofagasta","+56 55 2611033","Juan Martínez N°136. Taltal"
"38","1259","HANGA ROA","Hanga Roa","Región de Valparaíso / Hanga Roa","+56 32 2100222","Apina S/N. Isla de Pascua"
"32","1223","CHANARAL","Caldera","Región de Atacama","",""
"30","1224","CALDERA","Caldera","Región de Atacama","+56 52 2315276","Wheelright 441. Caldera."
"33","1225","HUASCO","Caldera","Región de Atacama","+56 51 2531011","Conchería 104. Huasco"
"45","1252","COQUIMBO","Coquimbo","Región de Coquimbo","+56 51 2558100","Avda. Costanera 640. Coquimbo"
"51","1211","TONGOY","Coquimbo","Región de Coquimbo","+56 51 2391781","Lord Cochrane 878. Tongoy."
"54","1227","LOS VILOS","Coquimbo","Región de Coquimbo","+56 53 2541104","Avda. Costanera 148. Los Vilos."
"83","1232","PAPUDO","Valparaíso","Región de Valparaíso","+56 32 2930057","Avenida Bulnes N°120. Quintero."
"78","1228","QUINTERO","Valparaíso","Región de Valparaíso","+56 32 2930057","Avenida Bulnes N°120. Quintero."
"72","1253","VALPARAÍSO","Valparaíso","Región de Valparaíso","+56 32 2208505","Plaza Sotomayor 7. Valparaíso."
"86","1258","JUAN FERNÁNDEZ","Valparaíso","Región de Valparaíso","+56 32 2751008 / +56 32 2751009","Subida Lord Anson S/N, Pob. Villa Cuarzo. Archipiélago de Juan Fernández"
"447","1255","ALGARROBO","San Antonio","Región de Valparaíso / O&#39;higgins","+56 35 2483993","Avda. Algarrobo 2298. Algarrobo."
"91","1257","SAN ANTONIO","San Antonio","Región de Valparaíso / O&#39;higgins","+56 35 2584804","Paseo Bellamar s/n. San Antonio."
"97","1210","LAGO RAPEL","San Antonio","Región de Valparaíso / O&#39;higgins","+56 35 2584833","Estero s/n. Comuna de Las Cabras."
"166","2170","PICHILEMU","San Antonio","Región de Valparaíso / O&#39;higgins","+56 72 2841206","Av. Costanera Nº 300. Pichilemu."
"161","2220","CONSTITUCIÓN","Talcahuano","Región de Bio Bío","+56 71 2671307","Karen Roco N°75 (Ex Rengifo) Constitución."
"144","2221","LIRQUÉN","Talcahuano","Región de Bio Bío","+56 41 2385136","Caleta Lirquén SN. Penco"
"134","2165","TALCAHUANO","Talcahuano","Región de Bio Bío","+56 41 2266100","Almirante Villarroel N°107. Talcahuano."
"138","2223","SAN VICENTE","Talcahuano","Región de Bio Bío","+56 41 2541954","Avenida Latorre 1430. San Vicente. Talcahuano"
"153","2224","CORONEL","Talcahuano","Región de Bio Bío","+56 41 2711124","General Carlos Prat 30. Coronel."
"167","2225","LOTA","Talcahuano","Región de Bio Bío","+56 41 2876399","Punta Arenas S/N Sector Playa. Lota Bajo, Lota"
"157","2226","LEBU","Talcahuano","Región de Bio Bío","+56 41 2511158","Blanco Encalada 501. Lebu."
"190","2169","CARAHUE","Valdivia","Región de los Ríos","+56 45 2524736","Calle Ejército #1063. Puerto Saavedra."
"186","2228","VILLARRICA","Valdivia","Región de los Ríos","+56 45 2524733","Gerónimo de Alderete 001. Pucón"
"175","2166","VALDIVIA","Valdivia","Región de los Ríos","+56 63 2276905","Arturo Prat N° 588 - 1er. Piso. Valdivia"
"184","2229","PANGUIPULLI","Valdivia","Región de los Ríos","+56 63 2276944","O'Higgins N°01. Panguipulli."
"176","2231","CORRAL","Valdivia","Región de los Ríos","+56 63 2471267","Av. Esmeralda N°100. Corral."
"188","2230","LAGO RANCO","Valdivia","Región de los Ríos","+56 63 2314469","Viña del Mar Nº409. Comuna Lago Ranco."
"203","2164","MAULLÍN","Puerto Montt","Región de Los Lagos","+56 65 2451285","Gaspar del Río N°73. Maullín."
"201","2171","PUERTO VARAS","Puerto Montt","Región de Los Lagos","+56 65 2235237","Avda. Vicente Pérez 1610. Sector Costanera. Puerto Varas."
"194","2704","PUERTO MONTT","Puerto Montt","Región de Los Lagos","",""
"663","9217","COCHAMÓ","Puerto Montt","Región de Los Lagos","+56 987295906","Cochamó S/N. Cochamó"
"198","2244","CALBUCO","Puerto Montt","Región de Los Lagos","+56 65 2462434","Avenida Brasil N°615. Calbuco."
