"Capitania","Direccion","Telefono"
"ARICA","Máximo Lira 315. Arica","+56 58 2356704 (Secretaría Protocolar) ó +56 58 2356747 (Guardia)"
"IQUIQUE","Jorge Barrera 98. Iquique","+56 57 2401911"
"PATACHE","Jorge Barrera 98. Iquique","+56 57 2401911"
"Tocopilla","Barros Arana N°1275. Tocopilla.","+56 55 2813279"
"Mejillones","Francisco Antonio Pinto N°100. Mejillones","+56 55 2621513"
"Antofagasta","Av. Grecia 1946. Antofagasta.","+56 55 2630000"
"Taltal","Juan Martínez N°136. Taltal","+56 55 2611033"
"Caldera","Wheelright 441. Caldera.",":  +56 52 2315276"
"Huasco","Conchería 104. Huasco",": +56 51 2531011"
"Coquimbo","Avda. Costanera 640. Coquimbo",": +56 51 2558100"
"Tongoy","Lord Cochrane 878. Tongoy.",": +56 51 2391781"
"Los Vilos","Avda. Costanera 148. Los Vilos.",": +56 53 2541104"
"Hanga Roa","Apina S/N. Isla de Pascua",": +56 32 2100222"
"Quintero","Avenida Bulnes N°120. Quintero.",": +56 32 2930057"
"Papudo","Avenida Bulnes N°120. Quintero.",": +56 32 2930057"
"Valparaíso","Plaza Sotomayor 7. Valparaíso.",": +56 32 2208505"
"Juan Fernández","Subida Lord Anson S/N, Pob. Villa Cuarzo. Archipiélago de Juan Fernández",": +56 32 2751008 / +56 32 2751009"
"Algarrobo","Avda. Algarrobo 2298. Algarrobo.",": +56 35 2483993"
"San Antonio","Paseo Bellamar s/n. San Antonio.","+56 35 2584804"
"Lago Rapel","Estero s/n. Comuna de Las Cabras.",": +56 35 2584833"
"Pichilemu","Av. Costanera Nº 300. Pichilemu.",": +56 72 2841206"
"Constitución","Karen Roco N°75 (Ex Rengifo) Constitución.","+56 71 2671307"
"Lirquén-Tomé","Caleta Lirquén SN. Penco",": +56 41 2385136"
"San Vicente","Avenida Latorre 1430. San Vicente. Talcahuano",": +56 41 2541954"
"Talcahuano","Almirante Villarroel N°107. Talcahuano.",": +56 41 2266100"
"Coronel","General Carlos Prat 30. Coronel.",": +56 41 2711124"
"Lota","Punta Arenas S/N Sector Playa. Lota Bajo, Lota",": +56 41 2876399"
"Lebu","Blanco Encalada 501. Lebu.",": +56 41 2511158"
"Carahue","Calle Ejército #1063. Puerto Saavedra.",""
"Villarrica","Gerónimo de Alderete 001. Pucón",": +56 45 2524733"
"Panguipulli","O'Higgins N°01. Panguipulli.",": +56 63 2276944"
"Valdivia","Arturo Prat N° 588 - 1er. Piso. Valdivia",""
"Corral","Av. Esmeralda N°100. Corral.",": +56 63 2471267"
"Lago Ranco","Viña del Mar Nº409. Comuna Lago Ranco.",": +56 63 2314469"
"Puerto Varas","Avda. Vicente Pérez 1610. Sector Costanera. Puerto Varas.",": +56 65 2235237"
"Cochamó","Cochamó S/N. Cochamó",": +56 987295906"
"Maullín","Gaspar del Río N°73. Maullín.",": +56 65 2451285"
"Calbuco","Avenida Brasil N°615. Calbuco.",": +56 65 2462434"
"Hornopirén","Los Colonos S/N Esquina Cordillera. Hornopirén.",": +56 65 2217304"
"Ancud","Arturo Prat esq. Lord Cochrane S/N. Ancud.",": +56 65 2622363"
"Quemchi","Diego Bahamondes N°390. Quemchi",": +56 65 2691334"
"Castro","Avda. Pedro Montt 85. Castro",""
"Achao","Calle Progreso S/N, Achao",": +56 65 2661260"
"Chonchi","Irarrázabal Nº5. Chonchi.",": +56 65 2671950"
"Quellón","Agustín Gómez García Nº 15. Quellón.",": +56 65 2681260"
"Chaitén","Juan Todesco N°5. Chaitén.",": +56 65 2731267"
"Melinka","Costanera Oeste S/N. Melinka",": +56 67 2431555"
"Puerto Cisnes","Arturo Prat N°851. Puerto Cisnes",": +56 67 2346880"
"Puerto Aguirre","Almirante Latorre S/N. Puerto Aguirre.",": +56 67 2361233"
"Lago General Carrera","Manuel Rodríguez 157. Chile Chico.",": +56 67 2411111"
"Chacabuco","Bernardo O'Higgins N°45. Puerto Chacabuco",""
"Baker","Costanera, Sector Base S/N. Caleta Tortel.","Móvil: +569 5617 3241"
"Punta Arenas","Av. Bernardo O'Higgins 1169, Punta Arenas.",": +56 61 2201105"
"Puerto Natales","Pedro Montt Nº311, Puerto Natales.",": +56 61 2411570"
"Punta Delgada","Primera Angostura S/N. Punta Delgada.","Móvil: + 56 61 2201189"
"Puerto Edén","Sector Yektarte S/N. Puerto Edén.",": +56 61 2201164"
"Tierra del Fuego","Carlos Serka N.º 1304. Porvenir. Tierra del Fuego.",": +56 61 2580841"
"Puerto Williams","Miramar 96. Puerto Williams.",": +56 61 2624271"
