canal,nombre,lat,lon,profundidad_fondeo_m,pagina
Canal Chacao,Caleta Quilquiao,-41.783333,-73.983333,26.0,152
Golfo Ancud,Bahía Linao,-41.95,-73.533333,25.0,178
Canal Caucahué,Rada Quicaví,-42.283333,-73.35,50.0,184
Canal Quinchao,Puerto Conchas,-42.433333,-73.45,28.0,198
Canal Hudson,Caleta Aguantao,-42.533333,-73.583333,34.0,200
Golfo Ancud,Caleta Gualaihué,-42.033333,-72.683333,15.0,211
Canal Cholgo,Bahía Edwards,-42.733333,-73.016667,13.0,229
Canal Calbuco,Puerto Calbuco,-41.766667,-73.116667,30.0,253
Golfo Ancud,Bahía Lin,-41.9,-73.1,30.0,260
Paso E Isla Guar,Caleta Alfaro,-41.666667,-73.0,20.0,283
Golfo Corcovado,Puerto Tictoc,-43.6,-72.95,30.0,308
Golfo Corcovado,Bahía Pescadores,-43.6,-72.9,30.0,310
Golfo Corcovado,Rada Palena,-43.766667,-72.983333,50.0,310
Canal Queilén,Caleta San Juan de Chadmo,-42.966667,-73.583333,9.0,331
Canal Queilén,Caleta Alqui,-42.983333,-73.5,12.0,332
Boca Guafo,Estero Álvarez. Fondeadero Carolina,-43.9,-73.75,30.0,362
Canal Betecoi,Caleta Betecoi,-43.983333,-73.783333,20.0,363
Canal Ninualac,Puerto Concha,-45.016667,-74.35,14.0,410
Canal Moraleda,Puerto La Barra,-45.016667,-73.666667,18.0,478
Canal Moraleda,Caleta Sepulcro,-45.283333,-73.75,14.0,486
Paso Tres Cruces,Termas Quitralco,-45.65,-73.216667,30.0,565
Golfo Elefantes,Caleta Gualas,-46.483333,-73.766667,3.0,573
Golfo Tres Montes,Fondeadero Stokes,-46.883333,-75.25,2.6,583
Golfo Tres Montes,Caleta Buena,-46.783333,-75.5,5.0,590
Golfo Tres Montes,Puerto Covadonga,-46.783333,-74.6,3.25,595
Seno Aldunate,Puerto Casma,-46.75,-74.433333,10.0,596
