canal,nombre,lat,lon,profundidad_fondeo_m,pagina
Canal Chacao,Caleta Quilquiao,-41.783333,-73.983333,26.0,152
Golfo Ancud,Bahía Linao,-41.95,-73.533333,25.0,178
Canal Caucahué,Rada Quicaví,-42.283333,-73.35,50.0,184
Paso Tenaún,Rada Quetalco,-42.333333,-73.55,17.0,191
Canal Quinchao,Puerto Conchas,-42.433333,-73.45,28.0,198
Canal Hudson,Caleta Aguantao,-42.533333,-73.583333,34.0,200
Canal Quehui,Estero y puerto Pindo,-42.616667,-73.483333,15.0,202
Paso Imelev,Caleta Huechún,-42.6,-73.316667,15.0,203
Golfo Ancud,Caleta Gualaihué,-42.033333,-72.683333,15.0,211
Golfo Ancud,Caleta Manzano,-42.016667,-72.633333,30.0,211
Canal Cholgo,Caleta Porcelana,-42.466667,-72.45,72.0,222
Canal Cholgo,Caleta Poza Chumildén,-42.516667,-72.8,20.0,226
Canal Cholgo,Bahía Edwards,-42.733333,-73.016667,13.0,229
Canal Calbuco,Puerto Calbuco,-41.766667,-73.116667,30.0,253
Golfo Ancud,Bahía Lin,-41.9,-73.1,30.0,260
Paso E Isla Guar,Caleta Alfaro,-41.666667,-73.0,20.0,283
Golfo Corcovado,Puerto Tictoc,-43.6,-72.95,30.0,308
Golfo Corcovado,Bahía Pescadores,-43.6,-72.9,30.0,310
Golfo Corcovado,Rada Palena,-43.766667,-72.983333,50.0,310
Golfo Corcovado,Caleta Puqueldón,-42.6,-73.683333,38.0,316
Canal Lemuy,Caleta Yutuy,-42.516667,-73.75,35.0,318
Canal Queilén,Caleta San Juan de Chadmo,-42.966667,-73.583333,9.0,331
Canal Queilén,Caleta Alqui,-42.983333,-73.5,12.0,332
Canal Laitec,Puerto Quellón,-43.133333,-73.633333,9.3,340
Boca Guafo,Caleta Laguera,-43.383333,-73.8,11.0,345
Boca Guafo,Estero Álvarez. Fondeadero Carolina,-43.9,-73.75,30.0,362
Canal Betecoi,Caleta Betecoi,-43.983333,-73.783333,20.0,363
Paso Huarro,Puerto May,-44.216667,-74.233333,2.0,386
Paso Sucio,Caleta Suárez,-46.616667,-75.45,5.5,404
Paso Sucio,Caleta Monona,-46.6,-75.5,10.0,404
Canal Ninualac,Puerto Concha,-45.016667,-74.35,14.0,410
Canal Darwin,Caleta Galvarino,-45.416667,-74.033333,10.0,425
Canal Moraleda,Puerto La Barra,-45.016667,-73.666667,18.0,478
Canal Moraleda,Puerto Atracadero,-45.166667,-73.683333,10.0,481
Canal Moraleda,Caleta Sepulcro,-45.283333,-73.75,14.0,486
Canal Puyuguapi,Caleta Iris,-44.725,-72.683333,40.0,516
Canal Ferronave,Caleta Andrade,-45.15,-73.516667,26.0,526
Canal Pilcomayo,Puerto Nuevo,-45.233333,-73.483333,30.0,539
Paso Tres Cruces,Termas Quitralco,-45.65,-73.216667,30.0,565
Paso Tres Cruces,Puerto Traiguén,-46.233333,-73.733333,31.0,569
Golfo Elefantes,Caleta Quesahuén,-46.416667,-74.733333,20.0,573
Golfo Elefantes,Caleta Gualas,-46.483333,-73.766667,3.0,573
Golfo Tres Montes,Fondeadero Stokes,-46.883333,-75.25,2.6,583
Golfo Tres Montes,Caleta Buena,-46.783333,-75.5,5.0,590
Golfo Tres Montes,Caleta San Tomás,-46.85,-74.4,15.0,595
Golfo Tres Montes,Caleta Barrancos,-46.85,-74.483333,16.0,595
Golfo Tres Montes,Puerto Covadonga,-46.783333,-74.6,3.25,595
Seno Aldunate,Puerto Casma,-46.75,-74.433333,10.0,596
