nombre,canal,pagina,motivo
Puerto Inglés,Canal Chacao,153,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta Hueihue,Golfo Ancud,178,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Puerto Huite,Canal Caucahué,180,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta Juan Pedro,Canal Chauques,188,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Estero Pichicolu,Canal Llanchid,212,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Puerto Pilolcura,Canal Calbuco,248,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Bahía Menea,Canal Calbuco,249,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta Martín,Paso Queullín,265,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Puerto Yelcho,Golfo Corcovado,302,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta Quilán,Boca Guafo,351,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta Repollal,Boca Guafo,360,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Puerto Melinka,Boca Guafo,361,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta Momia,Canal Betecoi,363,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Puerto Barrientos,Canal Tuamapu,366,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Puerto Róbalo,Canal King,390,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Estero y puerto San Esteban,Paso Sucio,401,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Bahía Adventure,Golfo Penas,409,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Rada Vallenar,Canal Ninualac,417,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Puerto Yates,Canal Williams,420,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta Condell,Canal Utarupa,436,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta Harchy,Canal Chacabuco,456,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Estero y puerto Cuptana,Canal Moraleda,472,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Puerto Francés,Canal Moraleda,475,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Puerto Americano,Canal Moraleda,478,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta Vidal,Canal Pilcomayo,540,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Caleta San Miguel,Paso Tres Cruces,562,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
Bahía Exploradores,Paso Tres Cruces,570,"clausula menciona bajo fondo/escollo/arrecife/restinga -- posible profundidad de peligro, no de fondeadero real"
