canal,nombre,lat,lon,profundidad_fondeo_m,pagina,proj_x,proj_y,col,fila,dist_costa_m,estado
Canal Chacao,Caleta Quilquiao,-41.783333,-73.983333,26.0,152,335185.3,5372378.5,2895,5107,740,agua
Golfo Ancud,Bahía Linao,-41.95,-73.533333,25.0,178,372912.0,5354638.3,3650,5462,360,agua
Canal Caucahué,Rada Quicaví,-42.283333,-73.35,50.0,184,388692.6,5317882.5,3965,6197,400,agua
Paso Tenaún,Rada Quetalco,-42.333333,-73.55,17.0,191,372303.3,5312049.8,3638,6314,0,tierra
Canal Quinchao,Puerto Conchas,-42.433333,-73.45,28.0,198,380731.5,5301091.1,3806,6533,110,agua
Canal Hudson,Caleta Aguantao,-42.533333,-73.583333,34.0,200,369971.3,5289790.9,3591,6759,110,agua
Canal Quehui,Estero y puerto Pindo,-42.616667,-73.483333,15.0,202,378345.9,5280685.9,3758,6941,0,tierra
Paso Imelev,Caleta Huechún,-42.6,-73.316667,15.0,203,391986.3,5282762.8,4031,6899,0,tierra
Golfo Ancud,Caleta Gualaihué,-42.033333,-72.683333,15.0,211,443437.4,5346297.0,5060,5629,540,agua
Golfo Ancud,Caleta Manzano,-42.016667,-72.633333,30.0,211,447562.4,5348179.3,5143,5591,0,tierra
Canal Cholgo,Caleta Porcelana,-42.466667,-72.45,72.0,222,463005.6,5298310.1,5452,6588,0,tierra
Canal Cholgo,Caleta Poza Chumildén,-42.516667,-72.8,20.0,226,434284.4,5292546.2,4877,6704,0,tierra
Canal Cholgo,Bahía Edwards,-42.733333,-73.016667,13.0,229,416775.3,5268296.3,4527,7189,110,agua
Canal Calbuco,Puerto Calbuco,-41.766667,-73.116667,30.0,253,407182.5,5375527.4,4335,5044,820,agua
Golfo Ancud,Bahía Lin,-41.9,-73.1,30.0,260,408757.5,5360741.6,4367,5340,500,agua
Paso E Isla Guar,Caleta Alfaro,-41.666667,-73.0,20.0,283,416751.1,5386749.3,4527,4820,670,agua
Golfo Corcovado,Puerto Tictoc,-43.6,-72.95,30.0,308,423324.6,5172114.3,4658,9112,250,agua
Golfo Corcovado,Bahía Pescadores,-43.6,-72.9,30.0,310,427360.1,5172159.3,4739,9111,720,agua
Golfo Corcovado,Rada Palena,-43.766667,-72.983333,50.0,310,420853.7,5153572.6,4609,9483,920,agua
Golfo Corcovado,Caleta Puqueldón,-42.6,-73.683333,38.0,316,361905.9,5282229.7,3430,6910,0,tierra
Canal Lemuy,Caleta Yutuy,-42.516667,-73.75,35.0,318,356245.5,5291372.4,3316,6727,0,tierra
Canal Queilén,Caleta San Juan de Chadmo,-42.966667,-73.583333,9.0,331,370874.2,5241670.6,3609,7721,490,agua
Canal Queilén,Caleta Alqui,-42.983333,-73.5,12.0,332,377703.4,5239944.5,3746,7756,1040,agua
Canal Laitec,Puerto Quellón,-43.133333,-73.633333,9.3,340,367156.7,5223083.9,3535,8093,0,tierra
Boca Guafo,Caleta Laguera,-43.383333,-73.8,11.0,345,354198.9,5195041.9,3275,8654,0,tierra
Boca Guafo,Estero Álvarez. Fondeadero Carolina,-43.9,-73.75,30.0,362,359459.0,5137745.4,3381,9800,320,agua
Canal Betecoi,Caleta Betecoi,-43.983333,-73.783333,20.0,363,356982.0,5128432.4,3331,9986,450,agua
Paso Huarro,Puerto May,-44.216667,-74.233333,2.0,386,321596.1,5101636.6,2623,10522,0,tierra
Paso Sucio,Caleta Suárez,-46.616667,-75.45,5.5,404,235850.6,4831649.6,909,15922,0,tierra
Paso Sucio,Caleta Monona,-46.6,-75.5,10.0,404,231940.3,4833332.5,830,15888,0,tierra
Canal Ninualac,Puerto Concha,-45.016667,-74.35,14.0,410,314837.7,5012511.5,2488,12304,100,agua
Canal Darwin,Caleta Galvarino,-45.416667,-74.033333,10.0,425,340908.5,4968750.5,3010,13179,0,tierra
Canal Moraleda,Puerto La Barra,-45.016667,-73.666667,18.0,478,368679.2,5013847.0,3565,12278,320,agua
