pagina,titulo_crudo,canal_atribuido
141,,
142,COSTA OCEÁNICA ISLA CHILOÉ,
143,COSTA OCEÁNICA ISLA CHILOÉ,
144,COSTA OCEÁNICA ISLA CHILOÉ,
145,COSTA OCEÁNICA ISLA CHILOÉ,
146,COSTA OCEÁNICA ISLA CHILOÉ,
147,COSTA OCEÁNICA ISLA CHILOÉ,
148,CANAL CHACAO,Canal Chacao
149,CANAL CHACAO,Canal Chacao
150,ACCESO OCEÁNICO CANAL CHACAO,Canal Chacao
151,ACCESO OCEÁNICO CANAL CHACAO,Canal Chacao
152,ACCESO OCEÁNICO CANAL CHACAO,Canal Chacao
153,BAHÍA ANCUD,Canal Chacao
154,BAHÍA ANCUD,Canal Chacao
155,BAHÍA ANCUD,Canal Chacao
156,BAHÍA ANCUD,Canal Chacao
157,BAHÍA ANCUD,Canal Chacao
158,BAHÍA ANCUD,Canal Chacao
159,CANAL CHACAO,Canal Chacao
160,CANAL CHACAO,Canal Chacao
161,CANAL CHACAO,Canal Chacao
162,CANAL CHACAO,Canal Chacao
163,CANAL CHACAO,Canal Chacao
164,ACCESO E CANAL CHACAO,Canal Chacao
165,ACCESO E CANAL CHACAO,Canal Chacao
166,ACCESO E CANAL CHACAO,Canal Chacao
167,ACCESO E CANAL CHACAO,Canal Chacao
168,GOLFO DE ANCUD,Golfo Ancud
169,INSTRUCCIONES PARA LA NAVEGACIÓN DEL CANAL CHACAO,Canal Chacao
170,CONSIDERACIONES PREVIAS,Canal Chacao
171,RECOMENDACIONES PARA LA DERROTA EN CANAL CHACAO,Canal Chacao
172,RECOMENDACIONES PARA LA DERROTA EN CANAL CHACAO,Canal Chacao
173,RECOMENDACIONES PARA LA DERROTA EN CANAL CHACAO,Canal Chacao
174,RECOMENDACIONES PARA LA DERROTA EN CANAL CHACAO,Canal Chacao
175,COSTA W GOLFO DE ANCUD,Golfo Ancud
176,BAHÍA MANAO,Golfo Ancud
177,BAHÍA HUEIHUE,Golfo Ancud
178,BAHÍA LINAO,Golfo Ancud
179,CANAL CAUCAHUÉ,Canal Caucahué
180,CANAL CAUCAHUÉ,Canal Caucahué
181,PUERTO QUEMCHI,Canal Caucahué
182,PUERTO QUEMCHI,Canal Caucahué
183,CANAL CAUCAHUÉ,Canal Caucahué
184,RADA QUICAVÍ,Canal Caucahué
185,CANAL QUICAVÍ,Canal Quicaví
186,CANAL CHENIAO,Canal Cheniao
187,CANAL CHAUQUES,Canal Chauques
188,CANAL CHAUQUES,Canal Chauques
189,CANAL TAC,Canal Tac
190,PASO TENAÚN,Paso Tenaún
191,PASO TENAÚN,Paso Tenaún
192,CANAL DALCAHUE,Canal Dalcahue
193,CANAL DALCAHUE,Canal Dalcahue
194,CANAL DALCAHUE,Canal Dalcahue
195,INSTRUCCIONES NAVEGACIÓN CANAL DALCAHUE,Canal Dalcahue
196,RECOMENDACIONES DERROTA CANAL DALCAHUE,Canal Dalcahue
197,CANAL QUINCHAO,Canal Quinchao
198,CANAL QUINCHAO,Canal Quinchao
199,CANAL QUINCHAO,Canal Quinchao
200,CANAL HUDSON,Canal Hudson
201,CANAL QUEHUI,Canal Quehui
202,ESTERO PINDO,Canal Quehui
203,PASO IMELEV,Paso Imelev
204,PASO IMELEV,Paso Imelev
205,CANAL ALAO,Canal Alao
206,CANAL CHAULINEC,Canal Chaulinec
207,CANALES QUICAVÍ Y APIAO,Canal Chaulinec
208,COSTA E GOLFO DE ANCUD,Golfo Ancud
209,COSTA E GOLFO DE ANCUD,Golfo Ancud
210,COSTA E GOLFO DE ANCUD,Golfo Ancud
211,COSTA E GOLFO DE ANCUD,Golfo Ancud
212,CANAL LLANCHID,Canal Llanchid
213,CANAL LLANCHID,Canal Llanchid
214,CANAL LLANCAHUÉ,Canal Llancahué
215,CANAL HORNOPIRÉN,Canal Hornopirén
216,CANAL HORNOPIRÉN,Canal Hornopirén
217,CANAL CHOLGO,Canal Cholgo
218,PASOS MARILMÓ Y COMAU,Canal Cholgo
219,CALETA TELELE,Canal Cholgo
220,CALETA ANTEPULLI,Canal Cholgo
221,CALETA TELELE,Canal Cholgo
222,CALETA LONCOCHALGUA,Canal Cholgo
223,ESTERO HUEQUI,Canal Cholgo
224,CALETA AYACARA,Canal Cholgo
225,CALETA BUILL,Canal Cholgo
226,CALETA LAS NIEVES,Canal Cholgo
227,ISLAS DESERTORES,Canal Cholgo
228,ISLAS DESERTORES,Canal Cholgo
229,ISLAS DESERTORES,Canal Cholgo
230,ISLAS DESERTORES,Canal Cholgo
231,CANAL DESERTORES,Canal Desertores
232,CANAL DESERTORES,Canal Desertores
233,CANAL DESERTORES,Canal Desertores
234,GOLFO CORCOVADO,Golfo Corcovado
235,GOLFO CORCOVADO,Golfo Corcovado
236,BAHÍA PARGUA,Golfo Corcovado
237,BAHÍA PARGUA,Golfo Corcovado
238,RADA DE CUNCO,Golfo Corcovado
239,CANAL Y PUERTO ABTAO,Canal y Puerto Abtao
240,ENSENADA CODIHUE,Canal y Puerto Abtao
241,CANAL SAN ANTONIO,Canal San Antonio
242,PASOS LAGARTIJA Y LAMI,Canal San Antonio
243,PASO LAMI,Paso Lami
244,PASO CORVIO,Paso Corvio
245,PASO QUIHUA,Paso Quihua
246,PUERTO SAN JOSÉ,Paso Quihua
247,PASO QUENU,Paso Quenu
248,CANAL CALBUCO,Canal Calbuco
249,CANAL CALBUCO,Canal Calbuco
250,CANAL CALBUCO,Canal Calbuco
251,CANAL CALBUCO,Canal Calbuco
252,CALETA LA VEGA,Canal Calbuco
253,PUERTO CALBUCO,Canal Calbuco
254,PUERTO CALBUCO,Canal Calbuco
255,CANAL CALBUCO,Canal Calbuco
256,CANAL CALBUCO,Canal Calbuco
257,PASO TAUTIL,Paso Tautil
258,ÁREA NW GOLFO DE ANCUD,Golfo Ancud
259,ÁREA NW GOLFO DE ANCUD,Golfo Ancud
260,ÁREA NW GOLFO DE ANCUD,Golfo Ancud
261,DERROTA RUTA INTERIOR GOLFO DE ANCUD Y SENO RELONCAVÍ,Golfo Ancud
262,DERROTA RUTA INTERIOR GOLFO DE ANCUD Y SENO RELONCAVÍ,Golfo Ancud
263,DERROTA RUTA INTERIOR GOLFO DE ANCUD Y SENO RELONCAVÍ,Golfo Ancud
264,PASO QUEULLÍN,Paso Queullín
265,PASO QUEULLÍN,Paso Queullín
266,COSTA E SENO RELONCAVÍ,Seno Reloncaví
267,COSTA E SENO RELONCAVÍ,Seno Reloncaví
268,ESTERO RELONCAVÍ,Seno Reloncaví
269,ESTERO RELONCAVÍ,Seno Reloncaví
270,BAHÍA SOTOMÓ,Seno Reloncaví
271,BAHÍA COCHAMÓ,Seno Reloncaví
272,BAHÍA RALÚN,Seno Reloncaví
273,RECOMENDACIONES DERROTA ESTERO RELONCAVÍ,Seno Reloncaví
274,COSTA E SENO RELONCAVÍ,Seno Reloncaví
275,BAHÍA PUERTO MONTT,Seno Reloncaví
276,BAHÍA PUERTO MONTT,Seno Reloncaví
277,BAHÍA PUERTO MONTT,Seno Reloncaví
278,BAHÍA PUERTO MONTT,Seno Reloncaví
279,PUERTO MONTT,Seno Reloncaví
280,PUERTO MONTT,Seno Reloncaví
281,PUERTO MONTT,Seno Reloncaví
282,PUERTO MONTT,Seno Reloncaví
283,PASO E ISLA GUAR,Paso E Isla Guar
284,COSTA W SENO RELONCAVÍ,Seno Reloncaví
285,COSTA W SENO RELONCAVÍ,Seno Reloncaví
286,COSTA W SENO RELONCAVÍ,Seno Reloncaví
287,PASO E ISLA MAILLÉN,Paso E Isla Maillén
288,BAHÍA CHINCUI,Paso E Isla Maillén
289,BAHÍA CHINCUI,Paso E Isla Maillén
290,BAHÍA CHINCUI,Paso E Isla Maillén
291,CANAL TENGLO,Canal Tenglo
292,CANAL TENGLO,Canal Tenglo
293,CANAL TENGLO,Canal Tenglo
294,CANAL TENGLO,Canal Tenglo
295,CANAL TENGLO,Canal Tenglo
296,DIRECCIÓN DERROTA SENO RELONCAVÍ,Seno Reloncaví
297,DIRECCIÓN DERROTA SENO RELONCAVÍ,Seno Reloncaví
298,COSTA E GOLFO CORCOVADO,Golfo Corcovado
299,ENSENADA CHAITÉN,Golfo Corcovado
300,ENSENADA CHAITÉN,Golfo Corcovado
301,ENSENADA CHAITÉN,Golfo Corcovado
302,PUERTO YELCHO,Golfo Corcovado
303,PUERTO YELCHO,Golfo Corcovado
304,BAHÍA CORCOVADO,Golfo Corcovado
305,BAHÍA CORCOVADO,Golfo Corcovado
306,BAHÍA TICTOC,Golfo Corcovado
307,BAHÍA TICTOC,Golfo Corcovado
308,BAHÍA TICTOC,Golfo Corcovado
309,BAHÍA TICTOC,Golfo Corcovado
310,BAHÍA PESCADORES,Golfo Corcovado
311,BAHÍA PESCADORES,Golfo Corcovado
312,RADA PALENA,Golfo Corcovado
313,ESTERO PITI PALENA,Golfo Corcovado
314,RÍO PALENA,Golfo Corcovado
315,BAHÍA ISLAS,Golfo Corcovado
316,COSTA W GOLFO CORCOVADO,Golfo Corcovado
317,CANAL LEMUY,Canal Lemuy
318,ESTERO CASTRO,Canal Lemuy
319,PUERTO CASTRO,Canal Lemuy
320,PUERTO CASTRO,Canal Lemuy
321,PUERTO Y CIUDAD DE CASTRO,Canal Lemuy
322,PUERTO CASTRO,Canal Lemuy
323,CANAL YAL,Canal Yal
324,PUERTO CHONCHI,Canal Yal
325,BAHÍA LINCAI,Canal Yal
326,GOLFO CORCOVADO,Golfo Corcovado
327,GOLFO CORCOVADO,Golfo Corcovado
328,CANAL QUEILÉN,Canal Queilén
329,PUERTO QUEILÉN,Canal Queilén
330,CANAL QUEILÉN,Canal Queilén
331,CANAL QUEILÉN,Canal Queilén
332,CALETA ALQUI,Canal Queilén
333,ESTERO HUILDAD,Canal Queilén
334,BAHÍA QUELLÓN,Canal Queilén
335,CANAL CHAIGUAO,Canal Chaiguao
336,CANAL CHAIGUAO,Canal Chaiguao
337,CANAL YELCHO,Canal Yelcho
338,CANAL YELCHO,Canal Yelcho
339,CANAL LAITEC,Canal Laitec
340,PUERTO QUELLÓN,Canal Laitec
341,PUERTO QUELLÓN,Canal Laitec
342,ESTERO YALDAD,Canal Laitec
343,CANAL SAN PEDRO,Canal San Pedro
344,BOCA DEL GUAFO,Boca Guafo
345,BOCA DEL GUAFO,Boca Guafo
346,BOCA DEL GUAFO,Boca Guafo
347,ISLA GUAFO,Boca Guafo
348,ISLA GUAFO,Boca Guafo
349,BOCA DEL GUAFO,Boca Guafo
350,BOCA DEL GUAFO,Boca Guafo
351,BOCA DEL GUAFO,Boca Guafo
352,BOCA DEL GUAFO,Boca Guafo
353,BAHÍA LOW,Boca Guafo
354,BAHÍA LOW,Boca Guafo
355,DIRECCIONES DERROTA BOCA DEL GUAFO Y GOLFO CORCOVADO,Boca Guafo
356,DIRECCIONES DERROTA BOCA DEL GUAFO Y GOLFO CORCOVADO,Boca Guafo
357,DIRECCIONES DERROTA BOCA DEL GUAFO Y GOLFO CORCOVADO,Boca Guafo
358,DIRECCIONES DERROTA BOCA DEL GUAFO Y GOLFO CORCOVADO,Boca Guafo
359,ARCHIPIÉLAGO GUAITECAS,Boca Guafo
360,CALETA REPOLLAL,Boca Guafo
361,BAHÍA Y PUERTO MELINKA,Boca Guafo
362,BAHÍA Y PUERTO MELINKA,Boca Guafo
363,CANAL BETECOI,Canal Betecoi
364,COSTA E ARCHIPIÉLAGO GUAITECAS,Canal Betecoi
365,PASO GUAITECAS Y CANAL TUAMAPU,Paso Guaitecas
366,CANAL TUAMAPU,Canal Tuamapu
367,FONDEADERO RHONE,Canal Tuamapu
368,FONDEADERO RHONE,Canal Tuamapu
369,CANAL TUAMAPU,Canal Tuamapu
370,CANAL PÉREZ NORTE,Canal Pérez Norte
371,PASO CHACAO,Paso Chacao
372,CANAL COSTA QUILA,Canal Costa Quila
373,CANAL PIHUEL,Canal Pihuel
374,CANAL PAJALITO,Canal Pajalito
375,CANAL CHIPANA,Canal Chipana
376,DIRECCIONES DERROTA CANAL PÉREZ NORTE,Canal Pérez Norte
377,DIRECCIONES DERROTA CANAL PÉREZ NORTE,Canal Pérez Norte
378,CANAL PÉREZ SUR,Canal Pérez Sur
379,PASO ESTRECHO,Paso Estrecho
380,CANAL PÉREZ SUR,Canal Pérez Sur
381,CANAL PÉREZ SUR,Canal Pérez Sur
382,DIRECCIONES DERROTA CANAL PÉREZ SUR,Canal Pérez Sur
383,DIRECCIONES DERROTA CANAL PÉREZ SUR,Canal Pérez Sur
384,PASOS PAJAL Y SIMBRAD,Canal Pérez Sur
385,PASO HUARRO,Paso Huarro
386,PASOS SENAREGA Y PLAY BONITA,Paso Huarro
387,CANAL ALANTA,Canal Alanta
388,CANALES CRUCES Y PAJALITO,Canal Alanta
389,CANAL SIMPSON,Canal Simpson
390,CANAL KING,Canal King
391,ISLA IPÚN,Canal King
392,ISLA GUAMBLÍN,Canal King
393,ISLA GUAMBLÍN,Canal King
394,CALETA ROMPIENTES,Canal King
395,CANAL MEMORY,Canal Memory
396,CANAL CIRIACO,Canal Ciriaco
397,ISLAS VALLENAR,Canal Ciriaco
