nombre,canal,geometria_ref,ancho_util_m,sonda_canal_min_m,calado_max_m,eslora_max_m,corriente_max_kt,restriccion,pagina,texto_aproximado,es_duplicado_de,contexto
Boca del Guafo,Boca Guafo,SIN_GEOMETRIA,29632,,,,,,148,si,,Boca del Guafo.- Cartas No 7000 y 7500. Es el gran brazo de mar que se interna hacia el E de la isla Guafo y entre la costa S de la isla Chiloé —por el lado N— y el borde N de las islas Guaitecas —por
Canal Chacao,Canal Chacao,Canal de Chacao,,,,,,,148,si,,"Canal Chacao.- Cartas No 7210, 7212 y 7213. Separa la costa SW de la provincia de Llanquihue (o del continente) —por el lado N— de la costa N de la 2 isla Chiloé —por el lado S—, en una extensión de 1"
Paso Chocoi,Canal Chacao,Canal de Chacao,2963,5.0,,,6.0,,159,no,,"Paso Chocoi.- Carta No 7210. Se forma entre la punta Chocoi y la isla Doña Sebastiana, tiene 1,6 2 millas de ancho y de 5 a 27 metros de profundidad. Las corrientes en el paso Chocoi pueden tener bast"
Canal Caulín,Canal Caulín,SIN_GEOMETRIA,,,,,,,163,si,,"Canal Caulín.- Carta No 7213. Separa la isla La- 3 cao —por el lado N— de la costa N de la isla Chiloé donde hace una gran inflexión hacia el S, entre la puntas Espolón y Quetrelquén —por el lado S—,"
Paso Norte,Canal Chacao,Canal de Chacao,926,,,,,,165,no,,Paso Norte.- Es la porción N del Canal Chacao en el área de la roca Remolinos entre punta Santa Teresa y punta Coronel. Es el sector más comunmente utilizado para la navegación de naves y embarcacione
Paso Sur,Canal Chacao,Canal de Chacao,648,,,,,,165,no,,"Paso Sur.- Es la porción S del Canal Chacao en el área de la roca Remolinos, entre puerto Elvira y rocas Chacao, tiene un ancho navegable aproximadamente de 3,5 cables. Este tramo recientemente habili"
Golfo de Ancud,Golfo Ancud,Golfo de Ancud,,,,,,,168,no,,Golfo de Ancud.- Carta No 7300. Es el vasto golfo que se forma entre el borde NE de la isla Chiloé —por el lado W— y la costa SE de la provincia de Llanquihue —por el lado E. Se extiende dentro de los
Golfo de Ancud,Golfo Ancud,Golfo de Ancud,,,,,,,174,no,168,Golfo de Ancud.- Carta No 7300. Es el vasto brazo de mar que se forma entre el borde NE de la isla Chiloé —por el lado W— y la costa SE de la provincia de Llanquihue —por el lado E. Se extiende dentro
Seno Reloncaví,Seno Reloncaví,Seno Reloncavi,,,,,,,175,no,,"Seno Reloncaví.- Carta No 7320. Es el extenso brazo de mar que se abre hacia el N del golfo de Ancud, entre la punta Perhue de la isla Puluqui —por el lado W— y la punta Trentelhué de la costa contine"
Canal Caucahué,Canal Caucahué,SIN_GEOMETRIA,2222,,,,,,179,si,,"Canal Caucahué.- Cartas No 7300 y 7381. Separa la costa E de la isla Chiloé —por el lado W— de la costa NW, SW y S de la isla Caucahué —por el lado E—, en una extensión de unas 10 millas en direc- 0 c"
