nombre,tipo,canal,carta_ref,sonda_m,senalizado,pagina
Banco Aquiles,banco,Canal Chacao,7210,,,150
Bajo Campana,bajo,Canal Chacao,7210,,,151
Rocas Osorio,roca,Canal Chacao,7210,,,151
Rocas Guapacho,roca,Canal Chacao,7210,,,151
Banco Inglés,banco,Canal Chacao,7210,,,153
Rocas Chaicura,roca,Canal Chacao,7210,,,154
Banco Núñez,banco,Canal Chacao,7210,,,154
Roca Cochinos,roca,Canal Chacao,7210,,,155
Restos Náufragos,naufragio,Canal Chacao,7210,,,155
Banco San Antonio,banco,Canal Chacao,7210,,,155
Banco Cochinos,banco,Canal Chacao,7210,,,158
"Rocas Mutrico, Carabantes y Cortés",roca,Canal Chacao,7210,,,159
Bajo Colo-Colo,bajo,Canal Chacao,7210,,,159
Bajo Esmeralda,bajo,Canal Chacao,7210,,,160
Bajo Young,bajo,Canal Chacao,7210,,,160
Roca Esmeralda,roca,Canal Chacao,7210,,,160
Bajo Amazonas,bajo,Canal Chacao,7210,,,160
Bajo Knoll,bajo,Canal Chacao,7210,,,160
Rocas Pugueñún,roca,Canal Chacao,7210,,,162
Roca Capilla,roca,Canal Chacao,7210,,,162
Bajo Doce de Octubre,bajo,Canal Chacao,7210,,,162
Restos náufragos,naufragio,Canal Chacao,7210,,,163
Roca Remolinos,roca,Canal Chacao,7210,,,164
Roca Remolinos,roca,Canal Chacao,7210,,,165
Rocas Chacao,roca,Canal Chacao,7210,,,166
Bajo Seluian,bajo,Canal Chacao,7210,,,166
